menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
privacy_paragraph_8_title,八、隱私權政策的修改,八、隐私权政策的修改,8. Changes to the Privacy Policy,8. Sửa đổi chính sách bảo mật,8. プライバシーポリシーの変更,8. 프라이버시 정책의 수정,8. Changes to the Privacy Policy,8. Changes to the Privacy Policy
privacy_paragraph_8_p,本公司得隨時修正本政策，相關修正規定將會公告於本公司開發及經營之應用程式中，請隨時查閱本政策之最新版本。本政策之修正於公告時生效，當您於本政策修正後繼續使用本公司開發及經營之應用程式，將表示您已閱讀、瞭解並同意接受本政策之修正內容。,本公司得随时修正本政策，相关修正规定将会公告于本公司开发及经营之应用程式中，请随时查阅本政策之最新版本。本政策之修正于公告时生效，当您于本政策修正后继续使用本公司开发及经营之应用程式，将表示您已阅读、了解并同意接受本政策之修正内容。,"HOLY BUSINESS may change this Privacy Policy in any moment, related changes will be announced in our App, please check the latest version of Privacy Policy. The changes of Privacy Policy will come into force from the announcement day, when you continuously use our App, it means you already read, knew, and agreed to the related changes.","Công ty có thể sửa đổi chính sách này bất kỳ lúc nào và các sửa đổi liên quan sẽ được thông báo trong các ứng dụng do công ty phát triển và vận hành. Vui lòng kiểm tra phiên bản mới nhất của chính sách này bất kỳ lúc nào. Việc sửa đổi chính sách này có hiệu lực tại thời điểm thông báo. Khi bạn tiếp tục sử dụng ứng dụng do công ty phát triển và vận hành sau khi sửa đổi chính sách này, điều đó có nghĩa là bạn đã đọc, hiểu và đồng ý chấp nhận sửa đổi của chính sách này.",当社は随時本ポリシーを変更できるものとし、関連する変更は当社により開発・運営するアプリケーション上で公表するものと規定いたしますので、随時本ポリシーの最新版をご覧になってください。本ポリシーの変更は公表時に効力を有するものとし、ユーザーが本ポリシー変更後も当社により開発・運営するアプリケーションを引き続きご利用になる際は、本ポリシーの変更内容をお読みいただきご理解の上で同意いただけることを表明するものとします。,저희는 본 정책을 수시로 수정할 수 있으며 해당 수정 규정을 저희가 개발 및 운영하는 프로그램에 공지하니 수시로 본 정책의 최신 버전을 검열하며 유의하십시오. 본 정책은 수정 공지 시부터 유효합니다.본 정책 수정 후에도 저희 개발 및 운영하는 프로그램을 계속 이용하시면 본 정책 수정 내용을 읽고 이해하고 동의한 것으로 간주합니다.,"HOLY BUSINESS may change this Privacy Policy in any moment, related changes will be announced in our App, please check the latest version of Privacy Policy. The changes of Privacy Policy will come into force from the announcement day, when you continuously use our App, it means you already read, knew, and agreed to the related changes.","HOLY BUSINESS may change this Privacy Policy in any moment, related changes will be announced in our App, please check the latest version of Privacy Policy. The changes of Privacy Policy will come into force from the announcement day, when you continuously use our App, it means you already read, knew, and agreed to the related changes."
privacy_paragraph_9_title,九、看法與建議,九、看法与建议,9. Feedback & Suggestion,9. Xem và thắc mắc,9. 見解とアドバイス,9. 의견 및 건의,9. Feedback & Suggestion,9. Feedback & Suggestion
privacy_paragraph_9_p_1,若您對本政策或與個人資料相關事項有任何疑問，歡迎寄送,若您对本政策或与个人资料相关事项有任何疑问，欢迎寄送,"If you have any Privacy Policy or Personal Information related question, please send an","Nếu bạn có bất kỳ câu hỏi nào về chính sách này hoặc các vấn đề liên quan đến dữ liệu cá nhân, vui lòng gửi",もしユーザーが本ポリシーあるいは個人情報に関する疑問があれば、当社のサポートセンターに,본 정책 혹은 개인 정보 사항에 대한 문의는 서비스 센터로,"If you have any Privacy Policy or Personal Information related question, please send an","If you have any Privacy Policy or Personal Information related question, please send an"
privacy_paragraph_9_sendMail,電子郵件,电子邮件,email,email,電子メール,이메일,email,email
privacy_paragraph_9_copy,已複製至剪貼簿,已复制至剪贴簿,The content has been copied to the Clipboard.,Đã sao chépvào clipboard,クリップボードにコピーしました。,복사하여 스크랩 북에 넣었습니다.,The content has been copied to the Clipboard.,The content has been copied to the Clipboard.
privacy_paragraph_9_p_2,至客服中心。,至客服中心。,to our Customer Service Center.,đến trung tâm dịch vụ khách hàng.,によるお問い合わせをお寄せください。,을 보내주시길 바랍니다.,to our Customer Service Center.,to our Customer Service Center.
term_title,「QPP」平台使用者條款,「QPP」平台使用者条款,「QPP」Platform User Terms of Service,Điều khoản dành cho nền tảng「QPP」,「QPP」プラットフォーム利用規約,「QPP」플랫폼 이용 약관,「QPP」Platform User Terms of Service,「QPP」Platform User Terms of Service
term_summary,"本使用條款為HOLY BUSINESS CO., LTD（以下稱「本公司」）所屬之「QPP」平台提供服務（以下稱「本服務」)，當您開始使用本服務時，即表示您已閱讀、瞭解並同意本使用條款（包含但不限於本服務之隱私權政策）之所有內容。本條款可能隨時修訂並公告於官網，修訂後之內容自公告日起生效。","本使用条款为HOLY BUSINESS CO., LTD（以下称「本公司」）所属之「QPP」平台提供服务（以下称「本服务」)，当您开始使用本服务时，即表示您已阅读、了解并同意本使用条款（包含但不限于本服务之隐私权政策）之所有内容。本条款可能随时修订并公告于官网，修订后之内容自公告日起生效。","This User Terms of Service is for「QPP」Platform Service（「The Service」in the following statement)  provided by HOLY BUSINESS CO., LTD（「HOLY BUSINESS」in the following statement）. When you use The Service, it means you already read, know, and agree to our User Terms of Service（including but not limited to the Privacy Policy of The Service）. This User Terms of Service may change in any moment, related changes will be announced on our official website, and come into force from the announcement day.","Các Điều khoản sử dụng này do HOLY BUSINESS CO., LTD ( dưới đây được gọi là 「công ty」) thuộc nền tảng「QPP」cung cấp dịch vụ ( dưới đây được gọi là 「dịch vụ」), Khi bạn bắt đầu sử dụng dịch vụ này, có nghĩa là bạn đã đọc, hiểu và đồng ý với tất cả nội dung của các điều khoản sử dụng này (bao gồm nhưng không giới hạn ở chính sách bảo mật của dịch vụ này). Các điều khoản này có thể được sửa đổi bất cứ lúc nào và được thông báo trên trang web chính thức, nội dung sửa đổi sẽ có hiệu lực kể từ ngày thông báo.","この利用規約（以下「本規約」といいます）は、HOLY BUSINESS CO., LTD（以下「当社」といいます）に属する「QPP」プラットフォームサービス（以下「本サービス」といいます）でございます。本サービスの利用を開始した時点でユーザーが本規約をよくお読みいただいた上で同意いただくこととみなします。当社は、いつでも、ユーザーの承諾を得ることなく本規約等を変更することができるものとします。変更後の本規約が当社のウェブサイトに掲載された時点で変更後の本規約等が有効になるものとします。","본 이용 약관은 HOLY BUSINESS CO., LTD（이하「회사」 속하는「QPP 」플랫폼 서비스（이하「서비스」) 를 이용하기 시작할 때 즉 본 약관을 읽고 이해하고 동의한 것으로 간주합니다. (단 본 서비스의 프라이버시 정책이 포함되지 않습니다 ).본 약관을 수시로 수정하여 공식 홈페이지에 공지하며 수정 후 내용은 공지한 후에 발효됩 니다.","This User Terms of Service is for「QPP」Platform Service（「The Service」in the following statement)  provided by HOLY BUSINESS CO., LTD（「HOLY BUSINESS」in the following statement）. When you use The Service, it means you already read, know, and agree to our User Terms of Service（including but not limited to the Privacy Policy of The Service）. This User Terms of Service may change in any moment, related changes will be announced on our official website, and come into force from the announcement day.","This User Terms of Service is for「QPP」Platform Service（「The Service」in the following statement)  provided by HOLY BUSINESS CO., LTD（「HOLY BUSINESS」in the following statement）. When you use The Service, it means you already read, know, and agree to our User Terms of Service（including but not limited to the Privacy Policy of The Service）. This User Terms of Service may change in any moment, related changes will be announced on our official website, and come into force from the announcement day."
term_subtitle_1,一、關於「QPP」平台服務,一、关于「QPP」平台服务,Ⅰ. About「QPP」Platform Service,1. Liên quan tới dịch vụ nền tảng「QPP」,1. 本サービス,1. 「QPP」플랫폼 서비스에 관한,Ⅰ. About「QPP」Platform Service,Ⅰ. About「QPP」Platform Service
term_text_1,<p>本服務係提供會員間商品或服務交易資訊刊登之媒介平台，請注意，平台內刊登之商品均由平台會員自行上傳銷售，QPP平台無法辨別及判斷交易物品之來源、真實性及完整性，請交易雙方於交易前事前查明，本服務不會介入或參與會員間的交易，對於平台上商品之來源、品質、安全性及合法性均不予保證。</p><ol><li>當您使用QPP平台服務時，您同意並瞭解以下事項：<ol><li>就已成立之交易，雙方負有履行的責任。</li><li>如因交易而生有糾紛，由交易雙方應自行解決。</li><li>因交易所生的費用由交易雙方自行負擔。</li><li>遵守交易當地之法律。</li></ol></li><li>賣方應有出售該商品之權利、及買賣標的是否合法並詳細記載商品資訊及交易條件；買方於購買前，應詳細審視及評估商品說明、交貨方式、條件等資訊，一旦交易成立，合約關係即存在買賣雙方間，雙方各自負擔給付價款及交付商品之責任，除法律有規定的情形外，任一方不得取消已成立的交易。請注意，如任一方違反雙方約定、法律規定或任何法規而出現糾紛或涉訟，概由買賣交易之雙方自行解決，QPP平台概不負擔任何責任。</li></ol>,<p>本服务系提供会员间商品或服务交易资讯刊登之媒介平台，请注意，平台内刊登之商品均由平台会员自行上传销售，QPP平台无法辨别及判断交易物品之来源、真实性及完整性，请交易双方于交易前事前查明，本服务不会介入或参与会员间的交易，对于平台上商品之来源、品质、安全性及合法性均不予保证。</p><ol><li>当您使用QPP平台服务时，您同意并了解以下事项：<ol><li>就已成立之交易，双方负有履行的责任。</li><li>如因交易而生有纠纷，由交易双方应自行解决。</li><li>因交易所生的费用由交易双方自行负担。</li><li>遵守交易当地之法律。</li></ol></li><li>卖方应有出售该商品之权利、及买卖标的是否合法并详细记载商品资讯及交易条件；买方于购买前，应详细审视及评估商品说明、交货方式、条件等资讯，一旦交易成立，合约关系即存在买卖双方间，双方各自负担给付价款及交付商品之责任，除法律有规定的情形外，任一方不得取消已成立的交易。请注意，如任一方违反双方约定、法律规定或任何法规而出现纠纷或涉讼，概由买卖交易之双方自行解决，QPP平台概不负担任何责任。</li></ol>,"<p>The Service is a platform for members to trade for item or service. Notice! The products on platform are uploaded by members, QPP Platform cannot identify or determine the origin, authenticity, and integrity of it, members will have to check it themselves before trade. The Service will not interfere between member’s trade or make any guarantee about the source, quality, safety, legality of the products on QPP Platform.</p><ol><li>When you use QPP Platform Service, it means you know and agree the regulations as follows;<ol><li>To a confirmed order, buyer and seller have the responsibility to finished it.</li><li>Any argument that caused by trading should be solved by seller and buyer themselves.</li><li>Buyer and seller afford the trade related fees.</li><li>Follow the local laws & regulations.</li></ol></li><li>Seller should have the rights to sell the product, make sure the product is selling with proper information, and it’s legality; Buyer should check product information, deliver method, and condition before making order. Once the order has been confirmed, the contract exist between buyer and seller, they have the corresponding responsibility of payment and delivery. Unless the laws & regulations have specific terms for the situation, both buyer and seller can not cancel the deal. Notice! If buyer or seller violate the deal, related regulations or laws, and cause any dispute or litigation, then buyer and seller will have to deal with it themselves, QPP Platform does not take any responsibility at all.</li></ol>","<p>Dịch vụ này là một nền tảng phương tiện truyền thông để công bố thông tin giao dịch hàng hóa hoặc dịch vụ giữa các thành viên. Xin lưu ý rằng, hàng hóa được công bố trên nền tảng được tải lên và bán bởi chính các thành viên,QPP không thể xác định và xác nhận nguồn gốc sản phẩm, tính xác thực và tính đầy đủ, vui lòng xác minh trước giao dịch giữa hai bên tham gia giao dịch rằng ,dịch vụ này sẽ không can thiệp hoặc tham gia giao dịch giữa các thành viên và không đảm bảo về nguồn gốc, chất lượng, tính an toàn và tính hợp pháp của sản phẩm trên nền tảng.</p><ol><li>Khi bạn sử dụng dịch vụ nền tảng QPP, bạn đã đồng ý và hiểu rõ các mục dưới đây:<ol><li>Tức là bạn đã giao dịch thành công, cả hai bên đều có trách nhiệm thực hiện giao dịch đã được xác lập.</li><li>Nếu có tranh chấp phát sinh từ giao dịch thì hai bên tự giải quyết.</li><li>Các chi phí phát sinh từ việc trao đổi sẽ do cả hai bên tự chịu trách nhiệm.</li><li>Tuân thủ luật pháp địa phương về giao dịch.</li></ol></li><li>Bên bán phải có quyền lợi bán hàng mục đích mua bán hợp pháp và ghi chi tiết thông tin sản phẩm và điều kiện giao dịch; người mua trước khi giao dịch, nên xem chi tiết và đánh giá giải thích sản phẩm, cách thức giao dịch ,điều kiện...thông tin, khi đã hoàn thành giao dịch, hợp đồng liên quan lưu giữ giữa hai bên, hai bên chịu trách nhiệm thanh toán giá cả và giao hàng, trừ khi có quy định của pháp luật, không bên nào được hủy bỏ giao dịch.Nếu một trong hai bên vi phạm thỏa thuận hợp đồng, các quy định pháp luật hoặc bất kỳ quy định nào và phát sinh tranh chấp hoặc kiện tụng, cả hai bên tham gia giao dịch sẽ tự giải quyết và nền tảng QPP sẽ không chịu bất kỳ trách nhiệm nào.</li></ol>",<p>本サービスはユーザーにお互い商品や情報を取引できるプラットフォームを提供しております。ご注意ください！本サービスにおいて公開された商品全てはユーザー自身がアップロードし、商売するものであり、その元・真実性・完全性を判断すること及び品質・安全性・合法性を保証することができませんので、取引を行う前に事前によくお調べください。</p><ol><li>ユーザーは、本サービスを利用するにあたり、以下の各号に定める事由について、予め承諾するものとします。<ol><li>既に成立した取引について、双方は実行する責任があること</li><li>取引によるトラブルが発生した場合において、双方自身が解決しないといけないこと</li><li>取引による発生した費用は取引を行った双方が負担すること</li><li>地域の取引法律を守ること</li></ol></li><li>売主は当該商品を販売する権利を持ち、その合法性と取引条件を商品情報に詳しく記載しないといけません。買主は当該商品を購入する前に商品説明・納品方法と条件などを確認しないといけません。取引が成立した場合に、法律の定めがある場合を除き、双方各自は代金支払いと商品出荷の責任を負い、取り消すことができないものとします。いずれかの当事者が約束事項を破り、いかなる法律規定を違反する場合、当事者の二人が自分で解決し、QPPプラットフォームは一切の責任を負わないこととします。</li></ol>,"<p>본 서비스는 회원간의 거래 플랫폼으로 제공하며 블록체인의<br />탈중심화 및 불가역등 특성을 이용하여 블록체인의 개인 열쇄는 회원님이 스스로 보관함으로 QPP 플랫폼에 정보 보유되지 않습니다.또한 발송된 정보 및 이전된 전자 데이터는 모두 블록체인에 기독 되어 제거나 변경할 수 없습니다. 주의,플랫폼에 게재된 아이템은 플랫폼을 이용하는 회원들 직접 업로드하여 판매해서QPP플랫폼이 아이템의 출서를 식별할 수 없으며 품질,안정성 및 합법성에 대해서는 보증할 수 없습니다.</p><ol><li>QPP플랫폼 서비스 이용하실 때는 아래 사항 에 동의하며 이해하셔야 합니다：<ol><li>성립된 거래는 쌍방이 이행 할 의무가 있습니다.</li><li>거래에 분쟁이 발생된 다면 거래 쌍방이 스스로 해결하셔야 합니다. </li><li>거래에 발생된 비용은 쌍방이 스스로 부담하셔야 합니다.</li><li>거래 진행 나라의 법을 지켜하셔야 합니다.</li></ol></li><li>판매자는 아이템을 판매하는 권리 및 매매 표적의 합법성을 확보하여<br />아이템 정보 및 거래 조건을 기재해야 합니다.구매자는 구매하기 전에<br />아이템에 대한 설명,인도 결제 방식,조건등 정보를 신중히 살펴야<br />합니다.거래 성립 시 매매쌍방이 계약 관계에 있으며 쌍방이 각자<br />아이템 인도 및 대금 지불 책임이 실행해야 합니다.법률에 특별한<br />규정이 있는 경우를 제외하고는 어느 한 쪽도 성립되 거래를 취소할 수<br />없습니다. 주의，어느 한쪽은 쌍방 약속,법율 규정 혹은 법을 위반해서<br />일어난 분쟁 혹은 소송은 거래 쌍방 해결해야 합니다.QPP플랫폼에게<br />아무 책임 없습니다.</li></ol>","<p>The Service is a platform for members to trade for item or service. Notice! The products on platform are uploaded by members, QPP Platform cannot identify or determine the origin, authenticity, and integrity of it, members will have to check it themselves before trade. The Service will not interfere between member’s trade or make any guarantee about the source, quality, safety, legality of the products on QPP Platform.</p><ol><li>When you use QPP Platform Service, it means you know and agree the regulations as follows;<ol><li>To a confirmed order, buyer and seller have the responsibility to finished it.</li><li>Any argument that caused by trading should be solved by seller and buyer themselves.</li><li>Buyer and seller afford the trade related fees.</li><li>Follow the local laws & regulations.</li></ol></li><li>Seller should have the rights to sell the product, make sure the product is selling with proper information, and it’s legality; Buyer should check product information, deliver method, and condition before making order. Once the order has been confirmed, the contract exist between buyer and seller, they have the corresponding responsibility of payment and delivery. Unless the laws & regulations have specific terms for the situation, both buyer and seller can not cancel the deal. Notice! If buyer or seller violate the deal, related regulations or laws, and cause any dispute or litigation, then buyer and seller will have to deal with it themselves, QPP Platform does not take any responsibility at all.</li></ol>","<p>The Service is a platform for members to trade for item or service. Notice! The products on platform are uploaded by members, QPP Platform cannot identify or determine the origin, authenticity, and integrity of it, members will have to check it themselves before trade. The Service will not interfere between member’s trade or make any guarantee about the source, quality, safety, legality of the products on QPP Platform.</p><ol><li>When you use QPP Platform Service, it means you know and agree the regulations as follows;<ol><li>To a confirmed order, buyer and seller have the responsibility to finished it.</li><li>Any argument that caused by trading should be solved by seller and buyer themselves.</li><li>Buyer and seller afford the trade related fees.</li><li>Follow the local laws & regulations.</li></ol></li><li>Seller should have the rights to sell the product, make sure the product is selling with proper information, and it’s legality; Buyer should check product information, deliver method, and condition before making order. Once the order has been confirmed, the contract exist between buyer and seller, they have the corresponding responsibility of payment and delivery. Unless the laws & regulations have specific terms for the situation, both buyer and seller can not cancel the deal. Notice! If buyer or seller violate the deal, related regulations or laws, and cause any dispute or litigation, then buyer and seller will have to deal with it themselves, QPP Platform does not take any responsibility at all.</li></ol>"
term_subtitle_2,二、會員註冊確認程序、資料更新,会员注册确认程序、资料更新,Ⅱ. Membership Registration Confirmation and Update,"2. Thủ tục xác nhận đăng ký thành viên, cập nhật thông tin",2. メンバーの登録、情報更新,2. 회원 등록 확인 절차 및 정보 경신,Ⅱ. Membership Registration Confirmation and Update,Ⅱ. Membership Registration Confirmation and Update
term_text_2,<ol><li>您必須先完成註冊程序，成為本服務會員後始能夠使用相關服務。QPP平台的服務對象僅限於具備完全行為能力的自然人及合法登記設立之法人或團體。若您不具備完全行為能力，請先由您的法定代理人閱讀、瞭解並同意本使用條款後再進行本服務的使用。當您使用或繼續使用本服務時，表示您的法定代理人已同受本服務條款及其後之修正。</li><li>您必須提供正確、最新及完整的會員資料，並予維持及更新，確保其正確性及完整性。QPP平台有權查證您所提供之個人資料真偽（包含但不限於向銀行或向第三者查證）。若您提供任何錯誤、不實、過時或不完整的資料，或者QPP平台有合理的理由懷疑資料為錯誤、不實、過時或不完整，QPP平台有權暫停或終止您的會員帳號，並拒絕您使用本服務之部分或全部功能，您並同意負擔QPP平台因此所產生直接或間接的任何支出。若因會員資料有誤或不完整致無法使用本服務，您不得以此作為買賣雙方取消QPP平台交易或拒絕付款之理由。請注意！如果您使用不實或第三人的資料，您的權利可能會不受到保障，且可能因此負擔民事及刑事上責任。</li></ol>,<ol><li>您必须先完成注册程序，成为本服务会员后始能够使用相关服务。QPP平台的服务对象仅限于具备完全行为能力的自然人及合法登记设立之法人或团体。若您不具备完全行为能力，请先由您的法定代理人阅读、了解并同意本使用条款后再进行本服务的使用。当您使用或继续使用本服务时，表示您的法定代理人已同受本服务条款及其后之修正。</li><li>您必须提供正确、最新及完整的会员资料，并予维持及更新，确保其正确性及完整性。QPP平台有权查证您所提供之个人资料真伪（包含但不限于向银行或向第三者查证）。若您提供任何错误、不实、过时或不完整的资料，或者QPP平台有合理的理由怀疑资料为错误、不实、过时或不完整，QPP平台有权暂停或终止您的会员帐号，并拒绝您使用本服务之部分或全部功能，您并同意负担QPP平台因此所产生直接或间接的任何支出。若因会员资料有误或不完整致无法使用本服务，您不得以此作为买卖双方取消QPP平台交易或拒绝付款之理由。请注意！如果您使用不实或第三人的资料，您的权利可能会不受到保障，且可能因此负担民事及刑事上责任。</li></ol>,"<ol><li>You have to finished registration, become a member of The Service to use the related services. QPP Platform is only for full capacity Natural Person, and legitimate Legal Person or Group. If you don’t have full capacity, please let your custodian read, know and agree to this User Terms of Service, then use The Service. When you continuously use The Service, it means your custodian already agree to the User Terms of Service and the later related changes.</li><li>You have to provide the correct, latest, and intact membership information, and keep update it constantly, in order to make sure it’s correct and intact. QPP Platform have the rights to check your personal information is real or fake(including but not limited to contact with bank or third person). If you provide any wrong, fake, outdated, impaired information, or QPP have enough evidence to believe such things, QPP remain the rights to temporarily or eternally terminate your membership account, refuse to provide part or all The Service, and you agree to afford any expense from the process. If you cannot use The Service because the fake or impaired personal information, you can not use it as the reason to cancel the order or refuse to make a payment. Notice! If you use fake or third person’s personal information, your rights will not be protected, and you might take the civil and criminal liabilities.</li></ol>","<ol><li>Bạn cần hòa tất thủ tục đăng ký,sau khi trở thành hội viên bắt đầu sử dụng dịch vụ liên quan. Đối tượng phục vụ của nền tảng QPP được giới hạn với người có đầy đủ năng lực hành vi tự nhiên và các tổ chức hoặc cá nhân được đăng ký hợp pháp. Nếu bạn không đủ hành vi năng lực, vui lòng người đại diện hợp pháp của bạn đọc, hiểu và đồng ý điều khoản sử dụng này mới tiến hành sử dụng dịch này. Khi bạn sử dụng hoặc tiếp tục sử dụng dịch vụ này, cũng đồng nghĩa người đại diện của bạn đã đồng ý với điều khoản dịch vụ này và những sửa đổi sau này.</li><li>Bạn phải cung cấp thông tin hội viên gần đây chính xác và đầy đủ, đồng thời duy trì và cập nhật thông tin đó để đảm bảo tính chính xác</li><li>Tính đầy đủ. Nền tảng QPP có quyền xác minh tính xác thực của dữ liệu cá nhân mà bạn cung cấp (bao gồm nhưng không giới hạn việc xác minh với ngân hàng hoặc với bên thứ ba).Nếu bạn cung cấp bất kỳ thông tin sai, không chính xác, quá hạn hoặc không đầy đủ hoặc nếu nền tảng QPP có cơ sở hợp lý để nghi ngờ rằng thông tin đó là sai,không chính xác, quá hạn hoặc không đầy đủ, nền tảng QPP có quyền đình chỉ hoặc chấm dứt tài khoản thành viên của bạn và từ chối bạn sử dụng một phần hoặc tất cả các chức năng của dịch vụ này, bạn đồng ý chịu mọi chi phí trực tiếp hoặc gián tiếp do nền tảng QPP phát sinh.Nếu bạn không thể sử dụng dịch vụ do thông tin thành viên không chính xác hoặc không đầy đủ, bạn không được lấy đây làm lý do để người mua và người bán hủy giao dịch trên nền tảng QPP hoặc từ chối thanh toán.Xin lưu ý! Nếu bạn sử dụng thông tin sai lệch hoặc thông tin của bên thứ ba, quyền lợi của bạn có thể không được bảo vệ và bạn có thể phải chịu trách nhiệm dân sự và hình sự. </li></ol>",<ol><li>登録希望者は登録手続きを行い、本サービスのメンバーになってから本サービスを利用することができるものとします。<br />本サービスのメンバーとなることができるのは、行動能力を持つ自然人、法人その他の団体とします。もし、制限行動能力である方はその法定代理人が本規約をお読みいただき、理解と同意してから、本サービスの利用を開始していただきます。本サービスの利用を開始したまたは利用を継続した場合、本規約または変更した内容等に同意したものとみなされるものとします。</li><li>ユーザー（メンバー）は正確で最新かつ完全な資料を提供し、その正確性と完全性を維持するために常に更新しないといけません。本サービスはご提供いただいた個人資料を検証する権利がございます（銀行若しくは第三者への検証を含みますがこれらに限定されません）。本サービスに届け出た情報に誤記、虚偽、記載漏れがあり、また不正であった若しくは合理的にそれを疑える場合、当該ユーザーが有するメンバーの資格を一時停止又は抹消を行える上で本サービスの一部又は全部機能の利用を拒否することができ、この期間に本サービスで直接または間接に発生した全ての支出費用をユーザーが負担することを合意したものとします。情報の誤記または記載漏れがあったことにより、本サービスの利用をできない場合、売買双方が取引を取り消し若しくは支払を拒否する理由とすることはできません。ご注意ください！不正または第三者の個人情報を提供した場合、保有する権利は保証されなくなり、民事また刑事責任を負うこととなる可能性がございます。</li></ol>,"<ol><li>우선 등록 절차를 거쳐야 본 서비스의 회원이 되어 해당 서비스를 이용할 수 있습니다.QPP플랫폼의 서비스 대상은 완전한 법률 행위를 할 수 자연인과 법률에 의해 설립등기된 법인 또는 단체에게만 국한됩니다. 만약 완전한 법률 행위를 구비되지 않는 경우 법정 대리인의 이해와 본 이용 약관에 동의하셔야 본 서비스를 이용할 수 있습니다.본 서비스를 이용하거나 계속 사용하는 경우에는 법정 대리인은 본 이용 약관 및 추후 약관 수정에 동의하는 것으로 간주합니다.</li><li>옳고 온전한 회원 정보를 제공하며 유지 및 경신하여 정확성과 완전성을 확보하셔야 합니다. QPP플랫폼은 제공한 정보의 진위를 검증할 권한이 있습니다.(은행 및 제 삼자에게 검증 가능 포함이나 제외) . 만약 허위, 불완전,유효시일에 초과된 정보를 제공하거나 QPP플랫폼은 제공한 정보에 대한 진위,불완전,유효시일에 초과되는 일을 합리적인 이류로 의심하면 회원님의 아이디를 일시 정지하거나 중지할 수 있으며 본 서비스의 일부 혹은 전부 기능 사용에 거부할 수 있어 QPP플랫폼은 직접적 혹은 간접적인 비용 지출 부담에 동의하셔야 합니다.회원 정보 틀리거나 불완전해서 본 서비스 이용할 수 없게 되는 것을 이유로 삼고 쌍방 매매 취소하거나 결제 거부할 수 없습니다.주의하십시오!불실 혹은 제 삼인의 정보를 이용하면 님의 권리를 보장되지 않으며 이를 위반 시 민사 및 형사 상의 법적 책임을 질 수 있습니다.</li></ol>","<ol><li>You have to finished registration, become a member of The Service to use the related services. QPP Platform is only for full capacity Natural Person, and legitimate Legal Person or Group. If you don’t have full capacity, please let your custodian read, know and agree to this User Terms of Service, then use The Service. When you continuously use The Service, it means your custodian already agree to the User Terms of Service and the later related changes.</li><li>You have to provide the correct, latest, and intact membership information, and keep update it constantly, in order to make sure it’s correct and intact. QPP Platform have the rights to check your personal information is real or fake(including but not limited to contact with bank or third person). If you provide any wrong, fake, outdated, impaired information, or QPP have enough evidence to believe such things, QPP remain the rights to temporarily or eternally terminate your membership account, refuse to provide part or all The Service, and you agree to afford any expense from the process. If you cannot use The Service because the fake or impaired personal information, you can not use it as the reason to cancel the order or refuse to make a payment. Notice! If you use fake or third person’s personal information, your rights will not be protected, and you might take the civil and criminal liabilities.</li></ol>","<ol><li>You have to finished registration, become a member of The Service to use the related services. QPP Platform is only for full capacity Natural Person, and legitimate Legal Person or Group. If you don’t have full capacity, please let your custodian read, know and agree to this User Terms of Service, then use The Service. When you continuously use The Service, it means your custodian already agree to the User Terms of Service and the later related changes.</li><li>You have to provide the correct, latest, and intact membership information, and keep update it constantly, in order to make sure it’s correct and intact. QPP Platform have the rights to check your personal information is real or fake(including but not limited to contact with bank or third person). If you provide any wrong, fake, outdated, impaired information, or QPP have enough evidence to believe such things, QPP remain the rights to temporarily or eternally terminate your membership account, refuse to provide part or all The Service, and you agree to afford any expense from the process. If you cannot use The Service because the fake or impaired personal information, you can not use it as the reason to cancel the order or refuse to make a payment. Notice! If you use fake or third person’s personal information, your rights will not be protected, and you might take the civil and criminal liabilities.</li></ol>"
term_subtitle_3,三、服務燃料費(含燃料費繳納方式),三、服务手续费(含手续费缴纳方式),Ⅲ. Service Fuel Fees(Including payment method.),3. Phí nhiên liệu dịch vụ(gồm cách thưc nạp phí nhiên liệu ),3. 利用料金(支払方法含む),3. QPP플랫폼 서비스 연료비(연료비 납부방법 포함됨),Ⅲ. Service Fuel Fees(Including payment method.),Ⅲ. Service Fuel Fees(Including payment method.)
